"id";"title";"stars";"conments_Num"
218;"运筹帷幄DB2 : 从Oracle运维转型";"(评价人数不足)";"(35人评价)"
219;"DevOps实战 : VMware管理员运维方法、工具及最佳实践";"(评价人数不足)";"(14人评价)"
220;"Site Reliability Engineering : How Google Runs Production Systems";"9.0";"(64人评价)"
221;"MySQL运维内参 : MySQL、Galera、Inception核心原理与最佳实践";"8.4";"(10人评价)"
222;"网络运维与管理2013超值精华本";"(评价人数不足)";"(12人评价)"
223;"跟老男孩学Linux运维：Shell编程实战";"7.0";"(100人评价)"
224;"Web容量规划的艺术";"7.6";"(69人评价)"
225;"银行数据中心基础设施建设与运维管理";"(评价人数不足)";"(49人评价)"
226;"Linux就该这么学 : 必读的Linux系统与红帽认证自学书籍";"5.7";"(22人评价)"
227;"Zabbix企业级分布式监控系统";"7.7";"(53人评价)"
228;"运维工程师成长之路";"(评价人数不足)";"(44人评价)"
229;"VMware vSphere企业运维实战";"(评价人数不足)";"(38人评价)"
230;"云计算：规划、实施、运维";"(评价人数不足)";"(71人评价)"
231;"DevOps实践指南";"9.0";"(100人评价)"
232;"24小时365天不间断服务 : 服务器基础设施核心技术";"7.7";"(39人评价)"
233;"大规模Linux集群架构最佳实践(如何管理上千台服务器)/Linux\Unix技术丛书 : 如何管理上千台服务器";"(评价人数不足)";"(67人评价)"
234;"500kV变电运维问答（知识部分）";"(目前无人评价)";"(32人评价)"
235;"智能变电站运维技术及故障分析";"(目前无人评价)";"(26人评价)"
236;"电网企业劳模培训系列教材 500kV变电运维";"(目前无人评价)";"(21人评价)"
237;"特高压变电站运维一体化培训教材";"(目前无人评价)";"(21人评价)"
238;"Ansible : Up and Running";"8.1";"(18人评价)"
239;"Jenkins权威指南";"5.6";"(53人评价)"
240;"ELK stack权威指南";"6.0";"(67人评价)"
241;"循序渐进Linux（第2版） : 基础知识 服务器搭建 系统管理 性能调优 虚拟化与集群应用";"7.7";"(30人评价)"
242;"深入浅出SSD : 固态存储核心技术、原理与实战";"8.5";"(36人评价)"
243;"网站性能监测与优化";"7.0";"(36人评价)"
244;"构建高可用Linux服务器";"7.2";"(35人评价)"
245;"I Heart Logs : Event Data, Stream Processing, and Data Integration";"7.5";"(18人评价)"
246;"UNIX and Linux System Administration Handbook, 4th Edition";"9.1";"(39人评价)"
247;"实用负载均衡技术 : 网站性能优化攻略";"6.1";"(52人评价)"
248;"Web Operations : Keeping the Data On Time";"9.1";"(25人评价)"
249;"UNIX shell范例精解";"7.5";"(53人评价)"
250;"The Docker Book";"8.2";"(54人评价)"
251;"IBM UNIX&Linux";"9.0";"(35人评价)"
252;"Linux系统命令及Shell脚本实践指南";"7.5";"(67人评价)"
253;"Complete Web Monitoring : Watching your visitors, performance, communities, and competitor";"(评价人数不足)";"(26人评价)"
254;"Time Management for System Administrators : Management for System Administrators";"7.7";"(25人评价)"
255;"Puppet实战";"7.1";"(45人评价)"
256;"奔跑吧Ansible";"7.5";"(19人评价)"
257;"图解基础设施设计模式";"7.3";"(37人评价)"
258;"Head First Networking";"8.5";"(18人评价)"
259;"I Heart Logs : Event Data, Stream Processing, and Data Integration";"7.5";"(18人评价)"
260;"UNIX and Linux System Administration Handbook, 4th Edition";"9.1";"(39人评价)"
261;"实用负载均衡技术 : 网站性能优化攻略";"6.1";"(52人评价)"
262;"Web Operations : Keeping the Data On Time";"9.1";"(25人评价)"
263;"UNIX shell范例精解";"7.5";"(53人评价)"
264;"The Docker Book";"8.2";"(54人评价)"
265;"IBM UNIX&Linux";"9.0";"(35人评价)"
266;"Linux系统命令及Shell脚本实践指南";"7.5";"(67人评价)"
267;"Complete Web Monitoring : Watching your visitors, performance, communities, and competitor";"(评价人数不足)";"(26人评价)"
268;"Time Management for System Administrators : Management for System Administrators";"7.7";"(25人评价)"
269;"Puppet实战";"7.1";"(45人评价)"
270;"奔跑吧Ansible";"7.5";"(19人评价)"
271;"图解基础设施设计模式";"7.3";"(37人评价)"
272;"Head First Networking";"8.5";"(18人评价)"
273;"Docker开发实践";"7.5";"(26人评价)"
274;"mysql管理之道：性能调优、高可用与监控";"7.3";"(20人评价)"
275;"Hadoop Operations";"7.7";"(13人评价)"
276;"Infrastructure as Code : Managing Servers in the Cloud";"8.4";"(12人评价)"
277;"Linux性能优化大师";"6.8";"(10人评价)"
278;"PHP应用程序安全编程";"6.1";"(22人评价)"
279;"信息存储与管理 : 数字信息的存储、管理和保护";"6.7";"(28人评价)"
280;"Pro Puppet";"6.5";"(16人评价)"
281;"The Practice of Cloud System Administration : Designing and Operating Large Distributed Systems, Volume 2";"(评价人数不足)";"(17人评价)"
282;"OpenStack部署实践";"5.2";"(16人评价)"
283;"Zabbix监控系统深度实践";"6.7";"(17人评价)"
284;"云计算解码 : 技术架构和产业运营";"6.7";"(17人评价)"
285;"软件定义数据中心：技术与实践";"7.8";"(11人评价)"
286;"Nagios系统监控实践（原书第2版）";"7.2";"(17人评价)"
287;"Linux软件管理平台设计与实现";"(评价人数不足)";"(11人评价)"
288;"系统管理与网络管理技术实践";"(评价人数不足)";"(12人评价)"
289;"Effective Monitoring and Alerting";"(评价人数不足)";"(11人评价)"
290;"Tomcat权威指南";"6.6";"(11人评价)"
291;"SQL Server 2008 DBA入门经典";"(评价人数不足)";"(18人评价)"
292;"Essential System Administration, Third Edition : Tools and Techniques for Linux and Unix Administration";"(评价人数不足)";"(13人评价)"
293;"Linux软件管理平台设计与实现";"(评价人数不足)";"(11人评价)"
294;"系统管理与网络管理技术实践";"(评价人数不足)";"(12人评价)"
295;"Effective Monitoring and Alerting";"(评价人数不足)";"(11人评价)"
296;"Tomcat权威指南";"6.6";"(11人评价)"
297;"SQL Server 2008 DBA入门经典";"(评价人数不足)";"(18人评价)"
298;"Essential System Administration, Third Edition : Tools and Techniques for Linux and Unix Administration";"(评价人数不足)";"(13人评价)"
299;"Ceph Cookbook 中文版";"7.2";"(13人评价)"
300;"Linux大棚命令百篇（下） : 网络和系统篇";"7.8";"(16人评价)"
301;"IIS 7开发与管理完全参考手册";"(评价人数不足)";"(26人评价)"
302;"Shell Scripting : Expert Recipes for Linux, Bash and more";"(评价人数不足)";"(14人评价)"
303;"Linux软件管理平台设计与实现";"(评价人数不足)";"(11人评价)"
304;"系统管理与网络管理技术实践";"(评价人数不足)";"(12人评价)"
305;"Effective Monitoring and Alerting";"(评价人数不足)";"(11人评价)"
306;"Tomcat权威指南";"6.6";"(11人评价)"
307;"SQL Server 2008 DBA入门经典";"(评价人数不足)";"(18人评价)"
308;"Essential System Administration, Third Edition : Tools and Techniques for Linux and Unix Administration";"(评价人数不足)";"(13人评价)"
309;"Ceph Cookbook 中文版";"7.2";"(13人评价)"
310;"Linux大棚命令百篇（下） : 网络和系统篇";"7.8";"(16人评价)"
311;"IIS 7开发与管理完全参考手册";"(评价人数不足)";"(26人评价)"
312;"Shell Scripting : Expert Recipes for Linux, Bash and more";"(评价人数不足)";"(14人评价)"
313;"Linux软件管理平台设计与实现";"(评价人数不足)";"(11人评价)"
314;"系统管理与网络管理技术实践";"(评价人数不足)";"(12人评价)"
315;"Effective Monitoring and Alerting";"(评价人数不足)";"(11人评价)"
316;"Tomcat权威指南";"6.6";"(11人评价)"
317;"SQL Server 2008 DBA入门经典";"(评价人数不足)";"(18人评价)"
318;"Essential System Administration, Third Edition : Tools and Techniques for Linux and Unix Administration";"(评价人数不足)";"(13人评价)"
319;"Ceph Cookbook 中文版";"7.2";"(13人评价)"
320;"Linux大棚命令百篇（下） : 网络和系统篇";"7.8";"(16人评价)"
321;"IIS 7开发与管理完全参考手册";"(评价人数不足)";"(26人评价)"
322;"Shell Scripting : Expert Recipes for Linux, Bash and more";"(评价人数不足)";"(14人评价)"
323;"Linux软件管理平台设计与实现";"(评价人数不足)";"(11人评价)"
324;"系统管理与网络管理技术实践";"(评价人数不足)";"(12人评价)"
325;"Effective Monitoring and Alerting";"(评价人数不足)";"(11人评价)"
326;"Tomcat权威指南";"6.6";"(11人评价)"
327;"SQL Server 2008 DBA入门经典";"(评价人数不足)";"(18人评价)"
328;"Essential System Administration, Third Edition : Tools and Techniques for Linux and Unix Administration";"(评价人数不足)";"(13人评价)"
329;"Ceph Cookbook 中文版";"7.2";"(13人评价)"
330;"Linux大棚命令百篇（下） : 网络和系统篇";"7.8";"(16人评价)"
331;"IIS 7开发与管理完全参考手册";"(评价人数不足)";"(26人评价)"
332;"Shell Scripting : Expert Recipes for Linux, Bash and more";"(评价人数不足)";"(14人评价)"
